job_key,snapshot_date,country_code,country,primary_role_family,has_salary,workplace_type
ch-4907507246,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5049642724,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5102286206,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5253192882,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5415997589,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5501296599,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5501296602,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5544982395,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5582074518,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5624904803,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5662130334,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5706900763,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5723540051,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5723540105,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5727378938,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5727381173,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5728539859,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5736527696,2026-09-03,ch,Switzerland,Business Analyst,False,On-site
ch-5737723571,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5751722820,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5752476574,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5754205825,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5763015516,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5772045252,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5779533751,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5781488841,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5784532475,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5791318020,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5795995207,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5798343353,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5799099810,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5805053425,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5805464955,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5810001868,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5811519370,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5814610054,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5814612360,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5814700994,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5814701018,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5816882280,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5816883068,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5822720275,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5822996836,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5822997268,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5826138284,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5829693990,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5830857008,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5832285104,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5832355656,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5832791687,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5832791712,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5834044745,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5837128521,2026-09-03,ch,Switzerland,Business Analyst,False,Remote
ch-5840951023,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841638762,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841641655,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841647275,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841650009,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841650065,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841650730,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841656718,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841660097,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841663916,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841664012,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841666061,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841674749,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5841678642,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5842832011,2026-09-03,ch,Switzerland,Business Analyst,False,Remote
ch-5843423869,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5844501683,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5844501799,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5844661707,2026-09-03,ch,Switzerland,Data Analyst,False,Hybrid
ch-5844661743,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5844661746,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5845481413,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5846521489,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5846526241,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5848038718,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5848972179,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5849618306,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5849901980,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5850172666,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5850864273,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5850949068,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5850973285,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5850973752,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5850974045,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5850975133,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5850976449,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5851422313,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5851683322,2026-09-03,ch,Switzerland,Data Analyst,False,Hybrid
ch-5851872574,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5852323293,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853039171,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853533474,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853593040,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853882183,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5853882264,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853882351,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853882472,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5853961952,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5853962010,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5853962024,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5854357121,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5854358837,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5854361495,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5854361611,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5854362058,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5854362105,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5854363607,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5854383299,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5854558152,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5855235962,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5855316718,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5855319525,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856657226,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856657239,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856657614,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856657772,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856658307,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856658308,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856658925,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856659676,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856659968,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856660061,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856741570,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856741699,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5856742226,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858108261,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858108334,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858108492,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858108772,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858109433,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858109639,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858109692,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858191100,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858191337,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858191352,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5858200279,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858218623,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858655034,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858655041,2026-09-03,ch,Switzerland,Business Analyst,False,Remote
ch-5858699531,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5858930041,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858930090,2026-09-03,ch,Switzerland,Data Analyst,True,Not specified
ch-5858930499,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5858930900,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5858931856,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859562226,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859562509,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859562796,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859563096,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859623248,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859625118,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859625414,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5859625738,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860025516,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860025567,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860025591,2026-09-03,ch,Switzerland,Business Analyst,False,Remote
ch-5860025604,2026-09-03,ch,Switzerland,Data Analyst,True,Not specified
ch-5860952832,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860954532,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860954677,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860954687,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5860955203,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5861035230,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5861038915,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5861621182,2026-09-03,ch,Switzerland,Data Analyst,True,Not specified
ch-5861621342,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5862206206,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5862206270,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5862206634,2026-09-03,ch,Switzerland,BI Analyst,False,Not specified
ch-5862212824,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5862876803,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5862909113,2026-09-03,ch,Switzerland,Business Analyst,False,Remote
ch-5862911922,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5862915600,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5863094617,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5863591024,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5863591272,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864095581,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864313658,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864313785,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864317496,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864318861,2026-09-03,ch,Switzerland,Data Analyst,False,Not specified
ch-5864319035,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864320396,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864321835,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5864521373,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5865208172,2026-09-03,ch,Switzerland,Business Analyst,False,Remote
ch-5865238768,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
ch-5866723075,2026-09-03,ch,Switzerland,Business Analyst,False,Not specified
