job_key,job_id,job_title,primary_role_family,title_role_family,selected_role_family,matched_role_families,matched_search_terms,search_term_count,role_family_count,role_resolution_method,role_review_required,company,company_disclosed,category,country_code,country,currency,location,city,region,location_hierarchy,location_area,latitude,longitude,workplace_type,contract_type,contract_time,published_at,published_date,publication_year,publication_month,publication_year_month,snapshot_date,days_since_publication,salary_min,salary_max,salary_midpoint,has_salary,salary_is_predicted,salary_invalid_nonpositive,job_description,job_url,collected_at_utc,first_seen_at,last_seen_at,times_seen
de-5868154596,5868154596,Data & BI Analyst Business Application (m/w/d),BI Analyst,BI Analyst,BI Analyst,BI Analyst | Business Analyst | Data Analyst,BI analyst | business analyst | data analyst,3,3,Title rule,False,Michael Page,True,Unknown,de,Germany,EUR,Deutschland,,,Deutschland,"[""Deutschland""]",,,Not specified,Not specified,Full-time,2026-09-03 05:10:58+00:00,2026-09-03,2026,9,2026-09,2026-09-03,0,,,,False,False,False,"Intro IT Business Application Specialist IT Data & BI Specialist Firmenprofil Das Unternehmen ist ein mittelständisches Unternehmen im Life-Science-Sektor mit einer starken Spezialisierung auf innovative Technologien. Es bietet eine professionelle Arbeitsumgebung, die sich auf Qualität und Branchenexpertise konzentriert. Aufgabengebiet Strukturierung von Daten sowie Erstellung von Berichten mit Microsoft Power BI Erstellung komplexer SQL-Abfragen, Views, Stored Procedures und Funktionen zur eff…",https://www.adzuna.de/details/5868154596?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5865823718,5865823718,Praktikum im E-Business - Business Intelligence & Digital Analyst - Ulm,BI Analyst,BI Analyst,BI Analyst,BI Analyst | Business Analyst,business analyst | business intelligence analyst,2,2,Title rule,False,Liebherr-Hausgeräte Ochsenhausen GmbH,True,Stellen für Hochschulabsolventen,de,Germany,EUR,"Ulm, Baden-Württemberg",Ulm,Baden-Württemberg,Deutschland | Baden-Württemberg | Ulm,"[""Deutschland"", ""Baden-W\u00fcrttemberg"", ""Ulm""]",48.383137,9.856945,Not specified,Not specified,Not specified,2026-09-02 01:51:31+00:00,2026-09-02,2026,9,2026-09,2026-09-03,1,,,,False,False,False,"Im Produktsegment Kühl- und Gefriergeräte entwickelt, fertigt und verkauft Liebherr bereits seit 1954 ein breites Spektrum an effizienten Kühl- und Gefriergeräten für den privaten und professionellen Einsatz. Um Kunden stets mit innovativen Lösungen zu begeistern, werden dabei deren Bedürfnisse in den Mittelpunkt gesetzt und die Grenzen des bisher Machbaren immer wieder neu definiert. Kühl- und Gefriergeräte von Liebherr gelten in der Branche und bei Kunden als Symbol für höchste Qualität - heu…",https://www.adzuna.de/land/ad/5865823718?se=iI2Wno2n8RGgf9YircBiEQ&utm_medium=api&utm_source=aa0fc1e4&v=8577A0D42BBCC33C8E41BB3276735B787B48C407,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5865142866,5865142866,Praktikum im E-Business - Business Intelligence & Digital Analyst - Ulm,BI Analyst,BI Analyst,BI Analyst,BI Analyst | Business Analyst,business analyst | business intelligence analyst,2,2,Title rule,False,Liebherr-Hausgeräte Ochsenhausen GmbH,True,Beraterstellen,de,Germany,EUR,"Ulm, Baden-Württemberg",Ulm,Baden-Württemberg,Deutschland | Baden-Württemberg | Ulm,"[""Deutschland"", ""Baden-W\u00fcrttemberg"", ""Ulm""]",48.383137,9.856945,Not specified,Not specified,Not specified,2026-09-01 20:03:00+00:00,2026-09-01,2026,9,2026-09,2026-09-03,2,,,,False,False,False,"Im Produktsegment Kühl- und Gefriergeräte entwickelt, fertigt und verkauft Liebherr bereits seit 1954 ein breites Spektrum an effizienten Kühl- und Gefriergeräten für den privaten und professionellen Einsatz. Um Kunden stets mit innovativen Lösungen zu begeistern, werden dabei deren Bedürfnisse in den Mittelpunkt gesetzt und die Grenzen des bisher Machbaren immer wieder neu definiert. Kühl- und Gefriergeräte von Liebherr gelten in der Branche und bei Kunden als Symbol für höchste Qualität - heu…",https://www.adzuna.de/land/ad/5865142866?se=iI2Wno2n8RGgf9YircBiEQ&utm_medium=api&utm_source=aa0fc1e4&v=967D70FA84EEEAD6A0AAA66B060E0CEF6EBF15CD,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5858907192,5858907192,Business Intelligence- / Data Warehouse-Analyst / Entwickler (m/w/x),BI Analyst,BI Analyst,BI Analyst,BI Analyst | Data Analyst,business intelligence analyst | data analyst,2,2,Title rule,False,expert Warenvertrieb GmbH,True,Sonstige/Allgemeine Stellen,de,Germany,EUR,"Langenhagen, Region Hannover (Kreis)",Langenhagen,Niedersachsen,Deutschland | Niedersachsen | Region Hannover (Kreis) | Langenhagen,"[""Deutschland"", ""Niedersachsen"", ""Region Hannover (Kreis)"", ""Langenhagen""]",52.44731,9.73965,Not specified,Not specified,Not specified,2026-08-28 01:08:21+00:00,2026-08-28,2026,8,2026-08,2026-09-03,6,,,,False,False,False,"Wir sind expert. Seit über 60 Jahren dein Technik-Experte von nebenan. Überall in Deutschland. Genauer gesagt an 396 Standorten mit 199 selbstständigen Unternehmern, die dort ihre Elektronikfachmärkte betreiben. Und das offenbar so gut, dass wir uns Deutschlands erfolgreichste Fachhandelskooperation nennen dürfen. In unserer Zentrale in Hannover-Langenhagen freuen sich über 500 zukünftige Kolleg:innen auf Sie. Von hier aus steuern wir alle Aktivitäten rund um Einkauf & Vertrieb, Marketing, E-Co…",https://www.adzuna.de/land/ad/5858907192?se=iI2Wno2n8RGgf9YircBiEQ&utm_medium=api&utm_source=aa0fc1e4&v=3FC162A7FF0D39AA2F7F2EBC9428F4F1CF33BBD7,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5858577600,5858577600,Business Intelligence- / Data Warehouse-Analyst / Entwickler (m/w/x),BI Analyst,BI Analyst,BI Analyst,BI Analyst | Data Analyst,business intelligence analyst | data analyst,2,2,Title rule,False,expert Warenvertrieb GmbH,True,Unknown,de,Germany,EUR,"Langenhagen, Region Hannover (Kreis)",Langenhagen,Niedersachsen,Deutschland | Niedersachsen | Region Hannover (Kreis) | Langenhagen,"[""Deutschland"", ""Niedersachsen"", ""Region Hannover (Kreis)"", ""Langenhagen""]",52.44731,9.73965,Not specified,Not specified,Not specified,2026-08-27 19:52:14+00:00,2026-08-27,2026,8,2026-08,2026-09-03,7,,,,False,False,False,"Wir sind expert. Seit über 60 Jahren dein Technik-Experte von nebenan. Überall in Deutschland. Genauer gesagt an 396 Standorten mit 199 selbstständigen Unternehmern, die dort ihre Elektronikfachmärkte betreiben. Und das offenbar so gut, dass wir uns Deutschlands erfolgreichste Fachhandelskooperation nennen dürfen. In unserer Zentrale in Hannover-Langenhagen freuen sich über 500 zukünftige Kolleg:innen auf Sie. Von hier aus steuern wir alle Aktivitäten rund um Einkauf & Vertrieb, Marketing, E-Co…",https://www.adzuna.de/land/ad/5858577600?se=iI2Wno2n8RGgf9YircBiEQ&utm_medium=api&utm_source=aa0fc1e4&v=2475D4E5A62A995FAE94C0CEC2966CF2FEA33D95,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5858242933,5858242933,Business Intelligence Specialist Senior (Business Analyst),BI Analyst,BI Analyst,BI Analyst,BI Analyst,business intelligence analyst,1,1,Title rule,False,TELUS Digital Europe,True,Unknown,de,Germany,EUR,Deutschland,,,Deutschland,"[""Deutschland""]",,,Not specified,Not specified,Not specified,2026-08-27 14:23:20+00:00,2026-08-27,2026,8,2026-08,2026-09-03,7,,,,False,False,False,"Business Analyst Work Location: Gift City, Gandhinagar Working Mode: 5 Days Work from office Experience Required: 5 Year Shift Timings: 12 pm to 1 pm IST (May vary depending upon the work requirement) Key Skills: Candidate should have experience working in BPO / Call center domain and should have worked with Looker Studio and Google Sheets etc.) with the ability to create charts, graphs, pivot tables, and complex formulas Job Description: The Business Analyst currently serves under the directi…",https://www.adzuna.de/details/5858242933?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5858005152,5858005152,Business Intelligence Analyst - SQL / Analytics (m/w/d) - Mittwald CM Service,BI Analyst,BI Analyst,BI Analyst,BI Analyst,business intelligence analyst,1,1,Title rule,False,Mittwald CM Service,True,IT-Stellen,de,Germany,EUR,"Espelkamp, Minden-Lübbecke (Kreis)",Espelkamp,Nordrhein-Westfalen,Deutschland | Nordrhein-Westfalen | Minden-Lübbecke (Kreis) | Espelkamp,"[""Deutschland"", ""Nordrhein-Westfalen"", ""Minden-L\u00fcbbecke (Kreis)"", ""Espelkamp""]",52.37688,8.63297,Not specified,Not specified,Not specified,2026-08-27 09:30:12+00:00,2026-08-27,2026,8,2026-08,2026-09-03,7,,,,False,False,False,"Über das Unternehmen Wir sind 200 kreative Köpfe, die hier in Espelkamp an echt starken Lösungen für das Web von morgen arbeiten. Wir leben Web. Wir atmen Code. Und: Wir lieben Agenturen & Freelancer. Als Webhoster aus dem Herzen Deutschlands bieten wir Webprofis die Plattform, auf der sie mit ihren Webprojekten durchstarten. Maximal performant. Mega flexibel. 100% klimaneutral. Ohne dich treffen wir Entscheidungen im Bauchgefühl. Mit dir entstehen ein Zahlenfundament und eine Perspektive, die …",https://www.adzuna.de/details/5858005152?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5855435937,5855435937,Business Intelligence Analyst - SQL / Analytics (m/w/d),BI Analyst,BI Analyst,BI Analyst,BI Analyst,business intelligence analyst,1,1,Title rule,False,Workwise GmbH,True,Unknown,de,Germany,EUR,"Espelkamp, Minden-Lübbecke (Kreis)",Espelkamp,Nordrhein-Westfalen,Deutschland | Nordrhein-Westfalen | Minden-Lübbecke (Kreis) | Espelkamp,"[""Deutschland"", ""Nordrhein-Westfalen"", ""Minden-L\u00fcbbecke (Kreis)"", ""Espelkamp""]",52.37688,8.63297,Not specified,Not specified,Full-time,2026-08-25 16:45:53+00:00,2026-08-25,2026,8,2026-08,2026-09-03,9,,,,False,False,False,"Über Mittwald CM Service GmbH & Co. KG Wir sind 200 kreative Köpfe, die hier in Espelkamp an echt starken Lösungen für das Web von morgen arbeiten. Wir leben Web. Wir atmen Code. Und: Wir lieben Agenturen & Freelancer. Als Webhoster aus dem Herzen Deutschlands bieten wir Webprofis die Plattform, auf der sie mit ihren Webprojekten durchstarten. Maximal performant. Mega flexibel. 100% klimaneutral. So bringst du deine Skills ein: Dich erwartet eine Grüne Wiese: Du baust den BI-Bereich auf (Strukt…",https://www.adzuna.de/details/5855435937?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5844198313,5844198313,BI Analyst (m/w/d) Qlik Sense,BI Analyst,BI Analyst,BI Analyst,BI Analyst,BI analyst,1,1,Title rule,False,Orizon GmbH,True,Unknown,de,Germany,EUR,"Grohn, Bremen",Grohn,Bremen,Deutschland | Bremen | Grohn,"[""Deutschland"", ""Bremen"", ""Grohn""]",53.16547,8.64259,Not specified,Not specified,Not specified,2026-08-16 14:00:29+00:00,2026-08-16,2026,8,2026-08,2026-09-03,18,,,,False,False,False,SBI Analyst (m/w/d) Qlik Sense Unser Angebot: Sie erhalten eine faire und zuverlässige Vergütung auf Basis des GVP/DGB-Tarifvertrags. Je nach Einsatzbranche kommen attraktive Zuschläge hinzu. Wir bieten Ihnen ein professionelles Arbeitsumfeld mit klaren Strukturen und guten Entwicklungsperspektiven. Von Beginn an begleiten wir Sie persönlich und beraten Sie individuell bei allen Fragen rund um Ihren Einsatz. Mit unserem Mitarbeiterprogramm Orizon PlusPunkte profitieren Sie von zahlreichen Extra…,https://www.adzuna.de/details/5844198313?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
de-5840281546,5840281546,Controlling Analyst – Kostenrechnung & BI (m/w/d),BI Analyst,,BI Analyst,BI Analyst,BI analyst,1,1,Single search family,False,HPM Service und Verwaltung GmbH,True,Stellen aus Handel & Bau,de,Germany,EUR,"HafenCity, Hamburg",HafenCity,Hamburg,Deutschland | Hamburg | HafenCity,"[""Deutschland"", ""Hamburg"", ""HafenCity""]",53.54167,9.99333,Not specified,Not specified,Full-time,2026-08-13 14:42:33+00:00,2026-08-13,2026,8,2026-08,2026-09-03,21,,,,False,False,False,"HPM DIE HANDWERKSGRUPPE ist eine familiengeführte Unternehmensgruppe und einer der Marktführer im Ausbauhandwerk bestehend aus erfolgreichen und lokal verankerten Handwerksbetrieben in Deutschland und Österreich. Die HPM ist ein starkes Netzwerk mit über 150 erstklassigen Betrieben in den drei Sparten: Maler Fassade Ausbau, Technische Gebäudeausrüstung sowie Fenster und Fassade.Über 4.400 Mitarbeiter, ein modernes Management und ein engagiertes Aus- und Fortbildungsprogramm sichern die hohe Qua…",https://www.adzuna.de/details/5840281546?utm_medium=api&utm_source=aa0fc1e4,2026-09-03 11:48:58.970502+00:00,2026-09-03,2026-09-03,1
