job_key,skill_key,found_in_title,found_in_description
ch-5706900763,r,False,True
ch-5737723571,r,True,False
ch-5737723571,stakeholder-management,False,True
ch-5784532475,r,False,True
ch-5814610054,agile,True,False
ch-5814700994,agile,False,True
ch-5816883068,sql,True,False
ch-5816883068,python,True,False
ch-5816883068,power-bi,True,False
ch-5816883068,stakeholder-management,False,True
ch-5822997268,communication,False,True
ch-5832355656,power-bi,False,True
ch-5834044745,r,False,True
ch-5844501799,r,False,True
ch-5849901980,stakeholder-management,False,True
ch-5850973752,stakeholder-management,False,True
ch-5850975133,gcp,False,True
ch-5851422313,excel,True,True
ch-5853039171,stakeholder-management,False,True
ch-5853882472,sql,False,True
ch-5853882472,python,False,True
ch-5853882472,power-bi,False,True
ch-5853882472,tableau,False,True
ch-5853882472,azure,False,True
ch-5853962024,stakeholder-management,False,True
ch-5854383299,power-bi,False,True
ch-5856657772,communication,False,True
ch-5856658308,power-bi,False,True
ch-5856659968,communication,False,True
ch-5856741570,sql,False,True
ch-5856741570,r,False,True
ch-5858930900,power-bi,False,True
ch-5860955203,sql,True,True
ch-5860955203,power-bi,True,True
ch-5860955203,etl,False,True
ch-5862212824,sql,False,True
ch-5862212824,power-bi,False,True
ch-5864095581,agile,False,True
ch-5864320396,r,True,True
ch-5870422551,excel,False,True
ch-5870422551,agile,False,True
ch-5870580469,r,True,True
ch-5871765319,excel,False,True
ch-5871765319,agile,False,True
ch-5873437167,power-bi,True,True
ch-5878265694,stakeholder-management,False,True
ch-5878443785,stakeholder-management,False,True
ch-5879005785,data-visualization,True,True
ch-5880103838,sql,True,True
ch-5885950867,r,False,True
ch-5885951172,r,False,True
ch-5886141394,r,False,True
ch-5886141686,r,False,True
ch-5886850304,stakeholder-management,False,True
ch-5887683461,r,False,True
ch-5888175740,r,True,False
ch-5888175740,stakeholder-management,False,True
ch-5888369165,r,False,True
ch-5888373901,r,False,True
ch-5888507685,databricks,True,True
ch-5889068696,agile,False,True
ch-5889264733,agile,False,True
ch-5889272679,stakeholder-management,False,True
ch-5889273156,stakeholder-management,False,True
ch-5890472680,power-bi,False,True
ch-5890633531,communication,False,True
ch-5890635502,power-bi,False,True
ch-5890636023,agile,False,True
ch-5890636023,stakeholder-management,False,True
ch-5892144286,r,False,True
ch-5892674996,r,False,True
ch-5895041893,r,True,True
ch-5895041893,stakeholder-management,False,True
ch-5895145758,r,True,True
ch-5895145758,stakeholder-management,False,True
ch-5895210389,r,False,True
ch-5896633375,r,True,False
ch-5896633375,stakeholder-management,False,True
ch-5896766027,agile,False,True
ch-5897541703,excel,False,True
ch-5898292022,communication,False,True
ch-5898897663,power-bi,False,True
de-5330215394,power-bi,True,False
de-5479764604,r,False,True
de-5751150763,sql,False,True
de-5751150763,power-bi,True,True
de-5752459828,etl,False,True
de-5770486747,stakeholder-management,False,True
de-5774396511,r,False,True
de-5782547945,data-visualization,True,True
de-5786675237,power-bi,False,True
de-5786675237,excel,False,True
de-5787618351,r,False,True
de-5788489663,power-bi,False,True
de-5802950222,excel,False,True
de-5802975615,sql,False,True
de-5802975615,etl,False,True
de-5802975615,stakeholder-management,False,True
de-5803454368,power-bi,False,True
de-5803454368,tableau,False,True
de-5806563462,stakeholder-management,False,True
de-5808554689,machine-learning,False,True
de-5809360702,communication,False,True
de-5821322166,sql,False,True
de-5830637305,power-bi,True,True
de-5830637305,databricks,True,True
de-5830637305,dax,False,True
de-5830749157,power-bi,False,True
de-5830749157,dax,False,True
de-5831958852,python,True,False
de-5833618547,tableau,False,True
de-5833618547,snowflake,False,True
de-5834803083,power-bi,False,True
de-5835493879,communication,False,True
de-5835557994,power-bi,True,True
de-5835557994,databricks,True,True
de-5835557994,dax,False,True
de-5835783804,communication,False,True
de-5838611141,stakeholder-management,False,True
de-5841997634,sql,False,True
de-5841997634,snowflake,False,True
de-5841997634,stakeholder-management,False,True
de-5842729684,r,False,True
de-5842729684,stakeholder-management,False,True
de-5848345509,power-bi,True,False
de-5848533692,data-visualization,True,True
de-5849184095,power-bi,True,False
de-5849315005,power-bi,False,True
de-5849325391,r,False,True
de-5851326698,agile,False,True
de-5852710200,excel,False,True
de-5853740590,power-bi,False,True
de-5853740590,excel,False,True
de-5855434419,sql,False,True
de-5855434419,power-bi,False,True
de-5855434419,excel,False,True
de-5855435937,sql,True,False
de-5858005152,sql,True,False
de-5858230960,stakeholder-management,False,True
de-5858241244,power-bi,False,True
de-5858241244,dax,False,True
de-5858329815,communication,False,True
de-5858661082,communication,False,True
de-5859164828,stakeholder-management,False,True
de-5860576239,stakeholder-management,False,True
de-5860576256,stakeholder-management,False,True
de-5861342350,azure,True,True
de-5861994844,machine-learning,False,True
de-5861994845,machine-learning,False,True
de-5862716394,r,False,True
de-5864048150,power-bi,False,True
de-5864048150,azure,False,True
de-5864048151,power-bi,False,True
de-5864048151,azure,False,True
de-5864048154,power-bi,False,True
de-5864048154,azure,False,True
de-5864593761,r,False,True
de-5864754539,agile,True,False
de-5865242906,communication,False,True
de-5866676803,agile,False,True
de-5867004154,r,False,True
de-5867197926,python,True,True
de-5867264784,python,False,True
de-5867625023,python,False,True
de-5868154596,sql,False,True
de-5868154596,power-bi,False,True
de-5868413742,sql,False,True
de-5868413742,python,False,True
de-5868413742,azure,False,True
de-5868413877,agile,False,True
de-5868510699,aws,False,True
de-5868510699,machine-learning,False,True
de-5868544356,sql,False,True
de-5868544356,power-bi,False,True
de-5868544356,databricks,False,True
de-5868544356,stakeholder-management,False,True
de-5868544357,stakeholder-management,False,True
de-5868892625,communication,False,True
de-5869315725,stakeholder-management,False,True
de-5869352706,communication,False,True
de-5869375999,stakeholder-management,False,True
de-5869545707,stakeholder-management,False,True
de-5869566040,agile,False,True
de-5869963720,azure,False,True
de-5869971763,r,False,True
de-5869973666,tableau,False,True
de-5870291416,etl,False,True
de-5870291416,data-modeling,False,True
de-5870610068,r,False,True
de-5870740760,communication,False,True
de-5870850264,communication,False,True
de-5870919268,communication,False,True
de-5871007388,stakeholder-management,False,True
de-5871007388,communication,False,True
de-5871128043,communication,False,True
de-5871403440,r,False,True
de-5871407493,data-modeling,False,True
de-5871980875,communication,False,True
de-5871980933,communication,False,True
de-5872158981,excel,False,True
de-5872869322,machine-learning,False,True
de-5872869343,machine-learning,False,True
de-5873134893,power-bi,True,False
de-5873219567,power-bi,True,True
de-5873644607,stakeholder-management,False,True
de-5874132105,r,False,True
de-5874196401,power-bi,False,True
de-5874196401,excel,False,True
de-5875138215,stakeholder-management,False,True
de-5875138215,communication,False,True
de-5875150140,sql,False,True
de-5875165011,power-bi,True,False
de-5875286870,agile,False,True
de-5875287821,power-bi,False,True
de-5875381675,power-bi,False,True
de-5875381675,azure,False,True
de-5875381683,power-bi,False,True
de-5875381683,azure,False,True
de-5875381696,power-bi,False,True
de-5875381696,azure,False,True
de-5875565825,stakeholder-management,False,True
de-5876573913,data-modeling,False,True
de-5876791537,agile,False,True
de-5877056155,communication,False,True
de-5877197369,sql,False,True
de-5877197369,python,False,True
de-5877199000,communication,False,True
de-5877200279,agile,False,True
de-5877276378,r,False,True
de-5877303741,stakeholder-management,False,True
de-5877432514,etl,False,True
de-5877433101,communication,False,True
de-5877523486,sql,False,True
de-5877539673,sql,False,True
de-5877539673,python,False,True
de-5877699919,etl,False,True
de-5877883000,sql,False,True
de-5878054376,agile,False,True
de-5878151730,aws,False,True
de-5878151730,machine-learning,False,True
de-5878377217,agile,False,True
de-5878763073,statistics,False,True
de-5879227010,power-bi,True,False
de-5879360163,agile,False,True
de-5880042147,agile,True,False
de-5880564118,data-modeling,False,True
de-5880667831,power-bi,False,True
de-5882125080,stakeholder-management,False,True
de-5882396871,machine-learning,False,True
de-5882396978,machine-learning,False,True
de-5882634405,communication,False,True
de-5882634406,communication,False,True
de-5882783439,r,False,True
de-5883178237,agile,True,False
de-5883488401,statistics,False,True
de-5883488695,statistics,False,True
de-5883700564,stakeholder-management,False,True
de-5883819207,agile,True,False
de-5884234102,stakeholder-management,False,True
de-5884440445,power-bi,False,True
de-5884440445,azure,False,True
de-5884440446,power-bi,False,True
de-5884440446,azure,False,True
de-5884440448,power-bi,False,True
de-5884440448,azure,False,True
de-5884629377,machine-learning,False,True
de-5884631771,power-bi,False,True
de-5884631809,machine-learning,False,True
de-5885167300,stakeholder-management,False,True
de-5885555473,power-bi,True,False
de-5885821553,agile,False,True
de-5886334551,sql,False,True
de-5886334551,python,False,True
de-5886439104,stakeholder-management,False,True
de-5886460463,stakeholder-management,False,True
de-5886638227,sql,False,True
de-5886638227,python,False,True
de-5886871646,power-bi,True,False
de-5887063443,sql,False,True
de-5887082426,power-bi,True,False
de-5887220047,agile,False,True
de-5887331771,aws,False,True
de-5887331771,machine-learning,False,True
de-5887796349,etl,False,True
de-5887796349,agile,False,True
de-5887798720,machine-learning,False,True
de-5888011215,power-bi,True,False
de-5888080238,agile,False,True
de-5888309825,agile,False,True
de-5888626014,sql,False,True
de-5888640701,stakeholder-management,False,True
de-5889464905,power-bi,True,False
de-5889524074,azure,True,True
de-5890078246,r,False,True
de-5890078246,stakeholder-management,False,True
de-5890111451,stakeholder-management,False,True
de-5890237252,r,False,True
de-5890239313,power-bi,False,True
de-5890265792,sql,False,True
de-5890642062,agile,False,True
de-5890718319,agile,False,True
de-5890800729,communication,False,True
de-5890804654,sql,False,True
de-5890804654,python,False,True
de-5890804654,power-bi,False,True
de-5890804654,tableau,False,True
de-5890804654,excel,False,True
de-5890804654,r,False,True
de-5890868063,r,False,True
de-5891322134,stakeholder-management,False,True
de-5891400049,python,False,True
de-5891400049,r,False,True
de-5891400049,databricks,False,True
de-5891400049,machine-learning,False,True
de-5891422884,agile,False,True
de-5891495190,machine-learning,False,True
de-5891495211,machine-learning,False,True
de-5891846591,agile,False,True
de-5891853453,power-bi,True,False
de-5891909418,power-bi,False,True
de-5891909418,tableau,False,True
de-5892312071,power-bi,True,False
de-5892604454,agile,False,True
de-5892874423,power-bi,True,False
