company_key,company_name,company_disclosed,country_key
co-77c8c6c866bbe404,3AP AG,True,ch
co-2807a34b88398154,AMAG Group AG,True,ch
co-c80479acd5b49910,Academic Work Switzerland SA,True,ch
co-a9d0e1c491fca847,Air Apps,True,ch
co-a0beaa6142c5d3f6,Akros AG,True,ch
co-7b4819c2f158b74e,Albedis - Genève,True,ch
co-c6b227d025214fef,Aldi,True,ch
co-2f7ebfdfbcbe2243,Assura,True,ch
co-419edc950337ef56,Ausgleichskasse des Kantons Bern,True,ch
co-230711625005a226,Autovermietung ZH GmbH,True,ch
co-e92150baf0959b59,Avacone,True,ch
co-3756ad463dfb9f99,Avaloq,True,ch
co-56042c9224a25336,BKW Energie AG,True,ch
co-cb741a98466c4e0c,BUSINESSCOM AG,True,ch
co-38bbe6d495df3d49,Bank CIC AG,True,ch
co-384166049cfb5f69,Bank J. Safra Sarasin,True,ch
co-2c1bb70ec016f0ec,Bank Vontobel,True,ch
co-8a9d866d7c79a456,Basellandschaftliche Gebäudeversicherung,True,ch
co-020eaeb8e71f722f,Bedag Informatik AG,True,ch
co-f8b15e1facf1515f,Blockstream,True,ch
co-8f677e57e060f97c,Boxtop AG,True,ch
co-588ea422fb76583a,CURENTIS,True,ch
co-6f0c0def928305b3,Capco,True,ch
co-7b47814617a147a0,Centris AG,True,ch
co-8f7e327750a08ba0,Chanel,True,ch
co-30d85ed3d8c8c6d4,Coopers Group AG,True,ch
co-8e8c038976ca5f26,DNA325,True,ch
co-9949841eabf67e70,Dein Einstieg bei Ironforge,True,ch
co-b65888888611a7e1,Deloitte,True,ch
co-e3cbf6e6d5897b2c,Deloitte AG,True,ch
co-6bab286a09e967e6,Dialectic,True,ch
co-734e31d375f1e447,E. Weber & Cie AG,True,ch
co-2cda43214aa33b20,EFG Bank,True,ch
co-35eca8e7eb61855b,ELCA,True,ch
co-6a5cc4b253fde86f,ESPRIT Netzwerk AG,True,ch
co-d4b42b6b97be808d,Ekkiden,True,ch
co-355912f00fc42290,Enova Consulting,True,ch
co-8ed2c39bd4f3bf05,Eraneos,True,ch
co-79d1a7fee1a0c455,Expleo,True,ch
co-e6dd400e3a181567,Fincons Group,True,ch
co-b933db6efd6c2193,Finders,True,ch
co-70de4c1881793dcd,Finders SA,True,ch
co-c62ec9f82a44c946,Fit1Job SA,True,ch
co-b31963161ebe5b1b,"G. et F. Châtelain, succursale de Chanel SARL",True,ch
co-5d778d687de3af8c,Garda Capital Partners,True,ch
co-45132ac351a8944d,Givaudan,True,ch
co-7b231e8bb492bb0e,Helen of Troy,True,ch
co-ec001fe166c515b1,Helsana Versicherungen AG,True,ch
co-d6e35176974898ff,INTEGRA Biosciences AG,True,ch
co-84a9324b4372f225,ITech Consult AG,True,ch
co-564eafcd1e0eb76d,Infinity Quest UK,True,ch
co-323edb298fa3e60b,Integraal Data Services,True,ch
co-16c66d849c6294ef,InvestCloud Careers,True,ch
co-53d49b960050d2a3,Ironforge Consulting AG,True,ch
co-344e12b27c9ebbe6,Itecor,True,ch
co-d624528e8e474a36,Jaeger et Bosshard SA,True,ch
co-af97371e9c4bd056,Job-Room,True,ch
co-07e09b19ee66a22f,Jobgether,True,ch
co-8bf77f980a277533,Julius Baer,True,ch
co-4ea8a844eb2302de,Kanton Basel-Stadt Finanzdepartement,True,ch
co-7410f6ca1a9adc96,Kantonale Verwaltung Zürich,True,ch
co-c826a0277510377e,Kantonsspital Baden,True,ch
co-eb0ad904767d5dc1,LGT Capital Partners,True,ch
co-b8c7a74fa921f7ae,LGT Capital Partners AG,True,ch
co-9bce0971730781d1,"LGT Capital Partners AG, Pfaeffikon",True,ch
co-f9524aa2c68d6997,LIOM,True,ch
co-b2a6125b35b3d3df,LLB - Liechtensteinische Landesbank AG,True,ch
co-3139ef97f190bd47,Liebherr,True,ch
co-4fa51ebd4ec99a8d,Lombard Odier,True,ch
co-b8d6c787fb59943c,MSC Mediterranean Shipping Company,True,ch
co-fe2fca6b0f5288fd,Manpower,True,ch
co-a9228267720f069d,Masimo,True,ch
co-e7727caa5e163d21,Michael Page,True,ch
co-fffeb9cf57d1c2f3,Movetia - Austausch und Mobilität,True,ch
co-34ac2c06e14b8afb,Movetia échanges et mobilité,True,ch
co-5a82d535e3ffd622,Nava Consulting SA,True,ch
co-749539bbaa9cac1f,PROSTAFF Schweiz GmbH,True,ch
co-d19793f350b068f8,Pistor AG,True,ch
co-1418a2d60797423e,Planzer,True,ch
co-e2f74fc8f6f1f76d,Pro Informatik AG,True,ch
co-d652c162f9eab0e2,Psychiatrische Universitätsklinik Zürich,True,ch
co-2011183bd4c8b9b0,RM IT Professional Resources AG,True,ch
co-7832397eee8caf24,Randstad,True,ch
co-5e6d73cad955ab42,Richemont,True,ch
co-089d273443d4c62a,Roche,True,ch
co-f5a034d57ce9299d,Ronda AG,True,ch
co-5a0603b43f0c8e8e,SIX Group,True,ch
co-2831b617224967f5,SIX Group AG,True,ch
co-b0cf0924d2ff4925,SQLI CH,True,ch
co-0e03e076e172a438,SThree Germany,True,ch
co-1aa9f421ec49bfc8,Signal AG,True,ch
co-2a8bdf0e2f1af942,Slipstream IT,True,ch
co-f2478437ec0ac3ad,Sopra Steria,True,ch
co-4e01bf2d01b59c86,Sopra Steria AG,True,ch
co-210c664cb4988188,SpeciTec SA,True,ch
co-e66bb9820e4ce843,Stadt Bülach,True,ch
co-240fb58a676b196c,Swiss Medical Network,True,ch
co-617a9445bc83c719,Swisslinx AG,True,ch
co-b85d39e04023c7bb,Talan,True,ch
co-e61ed7b8238641e9,TechBiz Global GmbH,True,ch
co-e9cb2a3251cecea1,Telus Digital,True,ch
co-32a50c22753c9130,Thoma & Partner Management Consulting AG,True,ch
co-72da526e34446196,Thommen Services AG,True,ch
co-ab3897bba4fa8b6a,Touring Club Suisse,True,ch
co-3d4dd958e330fc67,"Urs Ledermann & Partner AG, Bern",True,ch
co-e931bff23fa143f9,VP Bank AG,True,ch
co-ce7ca98ee896b67d,Vaudoise Assurances,True,ch
co-6eee2bdf1924cf40,Vaudoise RH,True,ch
co-2e931dcdfb371f16,Vitol,True,ch
co-a9fdf6f6c659fd73,Waters,True,ch
co-9a23a76875907c69,Wavestone Germany AG,True,ch
co-2d5a320fce20781f,Wit Partners,True,ch
co-9769c7812f2ae08d,Würth AG,True,ch
co-ddbb163044fbf4d4,Xmatik AG,True,ch
co-deed271d9fd9908c,Zürcher Kantonalbank und ihre Tochtergesellschaften,True,ch
co-bb1bcdd4688a0d71,Zürich Versicherungs-Gesellschaft AG / Zurich Insurance Company Ltd / Zurich Compagnie d'Assurances SA,True,ch
co-ddd6f478b7063a19,comparis Gruppe,True,ch
co-c872a0fbebe002f5,der KSG Gruppe,True,ch
co-ef6bd2140fed4649,e3 AG,True,ch
co-777be36152fcf255,eClerx,True,ch
co-3b63c54bedaf5e5c,ewb Energie Wasser Bern,True,ch
co-fdc98be9b0a55602,p4b,True,ch
co-9d8c369403899a75,p4b ag,True,ch
co-f5dc3ff4d07ac750,vector8,True,ch
co-f8e62acb6940433b,ÖKK Holding AG,True,ch
co-8b75e1f134a3b350,1GLOBAL,True,de
co-2b014afa2ababc8e,21strategies GmbH,True,de
co-9667bac4b5f7bc89,23DATA GmbH,True,de
co-ac6dd3b0eea46478,8R,True,de
co-83afed747f67df63,ABEKING & RASMUSSEN Schiffs- und Yachtwerft SE,True,de
co-305ed2c33a8aed7b,AERO HighProfessionals GmbH,True,de
co-bd23ab34a72e7d4f,AERTiCKET Group,True,de
co-695f0edb3405bde8,AIDA Cruises,True,de
co-58b0835770be1f53,AIRBUS HELICOPTERS DEUTSCHLAND GmbH,True,de
co-3d14df924752e785,ALBA Management GmbH,True,de
co-2bfb95ed7e8a0253,ALBA plc. & Co. KG,True,de
co-1f9369d8c2fb03a2,ALH Gruppe,True,de
co-6e06dfd9cf7498ec,ALL IN GROUP GmbH,True,de
co-ff77c145277481cf,ALTEN,True,de
co-9b7ac66c427dae02,ALTO Wealth,True,de
co-bc0f14c5261d0581,APRIORI – BUSINESS SOLUTIONS AG,True,de
co-85efdf3112b79220,ARD ZDF Deutschlandradio Beitragsservice,True,de
co-fae7400e77448502,ASS Athletic Sport Sponsoring GmbH,True,de
co-8a8a631136fb0e28,AXA,True,de
co-6a7380d27807caa0,AXA Konzern AG,True,de
co-571c090e69ae2bad,Aareal Bank AG,True,de
co-26739134688ff9bc,Accenture,True,de
co-8dd45f7cff40dca4,AccountOne GmbH,True,de
co-117302073e15fe85,Advantest Europe GmbH,True,de
co-000718f2249f3cd0,Air Apps,True,de
co-b2c19bbd7dc21886,Airbus,True,de
co-682785ace924f1dc,Akkodis,True,de
co-4e129661df557719,Aktion Mensch e. V.,True,de
co-23616e9b6e6655f6,Alacris Theranostics GmbH,True,de
co-f47623eced4fbfd6,Albert Schweitzer Stiftung für unsere Mitwelt,True,de
co-24c4394bb64b5a75,Allgeier IT GmbH,True,de
co-ef65cd5c15e2b727,Allianz,True,de
co-dd09f297b3bb7b72,Allianz Digital Health GmbH,True,de
co-f59d7620328b3a55,Allianz Private Krankenversicherungs-AG,True,de
co-ccd7304fa0d8b420,Almetra,True,de
co-3c2c09b8d64c6b35,Alpenwerk Group,True,de
co-e7c8e81f37168145,Amadeus Fire AG,True,de
co-846fe7314a2da13b,Amazon,True,de
co-6390d4769a5e92cf,Apleona Group,True,de
co-f2807816b20ac37e,ApoVid GmbH,True,de
co-2cd0e3444e89bcd4,Archer Daniels Midland,True,de
co-ac69085861319eef,Argo Aviation,True,de
co-d9b678468a89c9f5,Argo Aviation GmbH - Hamburg,True,de
co-2dd3e338116b89af,Atlas Copco Group,True,de
co-29976521a1c3e3cf,Atruvia,True,de
co-dd9f9c8442f656db,Atruvia AG,True,de
co-e938f5db74b5c9c1,Avaloq,True,de
co-199d49a9c1fd583b,Azolver,True,de
co-8c4fda4b2b7ebf07,BAUAKADEMIE Unternehmensgruppe GmbH,True,de
co-00af1cc69f53d514,BBC Cellpack GmbH,True,de
co-519e591fcbb9adde,BGS Solutions GmbH,True,de
co-b1ea7c87599119bc,BNP Paribas S.A.,True,de
co-2432c0b4e6886f6b,BREUER Nachrichtentechnik,True,de
co-1b6363f2f300bac2,BREUER Nachrichtentechnik GmbH,True,de
co-9744ce7af1252725,BRINK Group,True,de
co-d8a7dccb8a53b4b6,Barilla,True,de
co-600683a7cb74003a,Bechtle,True,de
co-acb66e367707a7aa,Bettermile,True,de
co-6b3d5bf4248b1121,Black Semiconductor,True,de
co-5d226bbda18c0f1f,Booz Allen Hamilton,True,de
co-7e1604ea342f5c51,Bosch Group,True,de
co-28540e4f5e23f405,Bosch Gruppe,True,de
co-b555fb62014d1487,CGI,True,de
co-fc1e5ecb02d6dd0b,CHECK24 Vergleichsportal,True,de
co-d37530c767413247,CITTI Handelsgesellschaft mbH u. Co. KG,True,de
co-92ed1be66c2ada83,CROWDCONSULTANTS,True,de
co-4c1accb6b311454c,Cafeyn,True,de
co-dce7842bb4055235,Capgemini,True,de
co-f1be9290ece5403d,Careerwise UK,True,de
co-373c00c0af714cc9,Caritas gGmbH St. Heinrich und Kunigunde,True,de
co-1ed9d2f84dd7f023,Caspar Health,True,de
co-a7b13c208bbd3279,Cheil Germany GmbH,True,de
co-1163e0fd66522422,Chiesi GmbH,True,de
co-56b9205f0e881393,Clarius Group,True,de
co-0ef3da84540de98b,CoCoNet,True,de
co-623a69692665897e,CompuGroup Medical,True,de
co-7ad50e20effb66dc,Conditess Feine Kuchen,True,de
co-81d41785efad4f1e,Conditess Feine Kuchen GmbH,True,de
co-97bfeb6a36f54461,Continentale Lebensversicherung AG,True,de
co-65ab4cc1d8fe8a3b,Control Expert GmbH,True,de
co-24cbd7554ebd50e5,Crewmeister,True,de
co-94aab5b31c244a46,DIEPA,True,de
co-891d038b51a2fa02,DIEPA GmbH,True,de
co-9ecfda25825b4ab8,DIS AG Germany,True,de
co-551ffbc2756ba785,DISH Digital Solutions,True,de
co-081a53dcf6156baa,DKMS Group gGmbH,True,de
co-3d6fdf294853162c,DL Remote,True,de
co-459e7d3479927460,DNA325,True,de
co-cf90fb9878a929c1,DPS Engineering,True,de
co-3ce405017fb95e1f,DZ BANK AG / Deutsche Zentral-Genossenschaftsbank,True,de
co-26ccf59db3c921c1,DZ HYP,True,de
co-9ac1bf0209f04ce7,DataSmart Point GmbH,True,de
co-7153c096067a1aa8,Debeka,True,de
co-a3971a12bf79801b,Debeka-Gruppe,True,de
co-e8f7f3ff43d672f5,Deichmann SE,True,de
co-b28f5a8ba819066c,Deloitte,True,de
co-54114fd43764f62c,Deutsche Pfandbriefbank AG,True,de
co-c4e8258b206fdfa3,Deutsche Rentenversicherung Bund,True,de
co-cfd3eda4863e92e3,Deutsche Welle,True,de
co-58508e834e11c048,Deutsche WertpapierService Bank AG,True,de
co-795374288f5bb9a7,Digital Charging Solutions,True,de
co-9dd1f42ad1d14664,Dirk Rossmann GmbH,True,de
co-a1e04fd037bfb751,Dr. C. SOLDAN Natur- und Gesundheitsprodukte GmbH,True,de
co-28034838bd7f396f,Dr. C. Soldan GmbH,True,de
co-b6b98255b827983a,E Airbus Defence and Space GmbH,True,de
co-8fe4895c064051a4,EDEKA ZENTRALE Stiftung & Co. KG,True,de
co-95368ef056cd26fd,EIT RawMaterials,True,de
co-033a5f6675aaf77a,ERGO,True,de
co-70f703f4469d53a3,ESS Energy & Sales Services,True,de
co-60c5668e9c81cd3d,EWE TEL,True,de
co-2fbd75c0569cd00e,EWERK,True,de
co-c62116b5ad780fbd,EY-Parthenon,True,de
co-b5e5420f786fc671,Edenred,True,de
co-08c88902bfddc3b4,Ekkiden,True,de
co-f570fd75b7c90bad,Energieversorger für Ökostrom und Gas,True,de
co-a92aa32583215e58,Eucon,True,de
co-c8e1b8f02f751e54,Eurofins,True,de
co-981af74ad2a16a3b,FERCHAU GmbH,True,de
co-3694e0fb92a153ce,FERCHAU Management GmbH,True,de
co-cd5b428dfe5df6de,FIO Systems AG,True,de
co-2bde9230ebf08cad,FRIWO Gerätebau GmbH,True,de
co-e92c907f04e7d773,FUTRUE GmbH,True,de
co-52e05e943782a40b,FUX Solutions,True,de
co-38cb045d43d4739b,Factor Eleven,True,de
co-cc27c7a99498f8bb,Factor Eleven GmbH,True,de
co-40c738852975e696,Finanz Informatik,True,de
co-eec7ee1058455363,Finanz Informatik & Co. KG,True,de
co-c81b58871ee74d5b,Finanz Informatik GmbH & Co. KG,True,de
co-c92ef6d0eab65c37,FindYou Consulting GmbH,True,de
co-bb885b9f64338de1,FlexPeople® - Your Career Network,True,de
co-eaf4588550b317ba,FlexPeople® - Your Career Network UG,True,de
