job_key,snapshot_date_key,country_key,role_key,search_term,query_page,query_result_position,estimated_job_count
ch-4907507246,20260903,ch,BA,business analyst,4,193,193
ch-5049642724,20260903,ch,BA,business analyst,4,192,193
ch-5102286206,20260903,ch,BA,business analyst,4,191,193
ch-5253192882,20260903,ch,BA,business analyst,4,190,193
ch-5415997589,20260903,ch,BA,business analyst,4,189,193
ch-5501296599,20260903,ch,BA,business analyst,4,187,193
ch-5501296602,20260903,ch,BA,business analyst,4,188,193
ch-5544982395,20260903,ch,BA,business analyst,4,186,193
ch-5582074518,20260903,ch,BA,business analyst,4,185,193
ch-5624904803,20260903,ch,BA,business analyst,4,184,193
ch-5662130334,20260903,ch,BA,business analyst,4,183,193
ch-5706900763,20260903,ch,BA,business analyst,4,182,193
ch-5723540051,20260903,ch,BA,business analyst,4,181,193
ch-5723540105,20260903,ch,BA,business analyst,4,180,193
ch-5727378938,20260903,ch,BA,business analyst,4,179,193
ch-5727381173,20260903,ch,BA,business analyst,4,178,193
ch-5728539859,20260903,ch,BA,business analyst,4,177,193
ch-5736527696,20260903,ch,BA,business analyst,4,176,193
ch-5737723571,20260903,ch,BA,business analyst,4,175,193
ch-5751722820,20260903,ch,BA,business analyst,4,174,193
ch-5752476574,20260903,ch,BA,business analyst,4,173,193
ch-5754205825,20260903,ch,BA,business analyst,4,172,193
ch-5763015516,20260903,ch,BA,business analyst,4,171,193
ch-5772045252,20260903,ch,BA,business analyst,4,170,193
ch-5779533751,20260903,ch,BA,business analyst,4,169,193
ch-5781488841,20260903,ch,BA,business analyst,4,168,193
ch-5784532475,20260903,ch,BA,business analyst,4,167,193
ch-5791318020,20260903,ch,BA,business analyst,4,166,193
ch-5795995207,20260903,ch,BA,business analyst,4,165,193
ch-5795995207,20260903,ch,DA,data analyst,1,34,34
ch-5798343353,20260903,ch,BA,business analyst,4,164,193
ch-5799099810,20260903,ch,DA,data analyst,1,33,34
ch-5805053425,20260903,ch,BA,business analyst,4,163,193
ch-5805464955,20260903,ch,BA,business analyst,4,162,193
ch-5805464955,20260903,ch,DA,data analyst,1,32,34
ch-5810001868,20260903,ch,BA,business analyst,4,161,193
ch-5810001868,20260903,ch,DA,data analyst,1,31,34
ch-5811519370,20260903,ch,BA,business analyst,4,160,193
ch-5814610054,20260903,ch,BA,business analyst,4,159,193
ch-5814612360,20260903,ch,BA,business analyst,4,158,193
ch-5814700994,20260903,ch,BA,business analyst,4,157,193
ch-5814701018,20260903,ch,BA,business analyst,4,156,193
