title,latitude,__CLASS__,redirect_url,salary_min,created,salary_max,salary_is_predicted,description,longitude,id,adref,company.__CLASS__,company.display_name,category.tag,category.label,category.__CLASS__,location.display_name,location.area,location.__CLASS__,contract_time,contract_type,country_code,country,currency,role_family,search_term,query_page,collected_at_utc,query_result_position
Senior data analyst,51.415933,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5864040627?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=E1603DC941D0EB5DEA108CDA152977EB864DB853,44462.53,2026-09-01T08:21:03Z,44462.53,1,"Entity: Technology Job Family Group: IT&S Group Job Description: Please note that roles based out of SJS or Sunbury will move to Timber Square, Southwark, from Q4 2027 Being part of the Wells & Subsurface data group, you will apply your domain knowledge and familiarity with domain data processes to support the Wells & Subsurface (W&SS) organisation. Part of bp’s Production & Operations business, W&SS has hubs in London, Pune, and Houston. The team provides daily operational data management, dat…",-0.417042,5864040627,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODY0MDQwNjI3In0.HlqSit7bjkEm4ODXv3PSRYPnWgBV8fiW-84XS2vy7s4,Adzuna::API::Response::Company,bp,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Sunbury-On-Thames, Surrey","['UK', 'South East England', 'Surrey', 'Sunbury-On-Thames']",Adzuna::API::Response::Location,,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,1
Data Business Analyst,51.503378,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5863586463?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=1F1D3FFEEEBA331F28760EB86DC2DE0FDA22FA8B,57140.1,2026-09-01T01:36:38Z,57140.1,1,"As a Data Business Analyst at NTT DATA in London, you will play a pivotal role in delivering data-driven business solutions across sectors such as telecoms, media, banking, insurance, retail, energy, and public sector. The position requires at least 5 years’ experience in data, consulting, or analytics, with expertise in data modelling, SQL, Hive, Pig, Python, R, and data visualisation tools like PowerBI, Qlik, and Tableau. You will collaborate with clients and internal teams, manage data proje…",-0.139134,5863586463,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MzU4NjQ2MyIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.oUpSh1CXBvZ0AGFY9nEcPaijthiGEzNc2lOyAxLRNSE,Adzuna::API::Response::Company,Ntt Data,it-jobs,IT Jobs,Adzuna::API::Response::Category,"London, UK","['UK', 'London']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,2
Data Analyst,52.483002,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5863132806?utm_medium=api&utm_source=aa0fc1e4,35000.0,2026-08-31T21:39:19Z,35000.0,0,"Data Analyst Solihull (5 days per week) £35,000 per annum VIQU has partnered with a global organisation looking to expand their dat capabilities. This role will be the sole Data Analyst position in the UK, working closely with the head of Technology, and the wider data team to transform business data into insights. You'll be responsible for analysing and manipulating large datasets, identifying trends and potential issues before they impact the business, and presenting clear recommendations to …",-1.89359,5863132806,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MzEzMjgwNiIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.THcc9ffeYYTP2IDEzjswE9ap7iPKizfIeU_nty9Kkf4,Adzuna::API::Response::Company,VIQU IT Recruitment,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Birmingham, West Midlands","['UK', 'West Midlands', 'Birmingham']",Adzuna::API::Response::Location,,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,3
Data Analyst,52.4147,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5863109993?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=4906B6C9BBAF8D949FF0134834AC988B92918CD8,30000.0,2026-08-31T20:07:39Z,35000.0,0,"Data Analyst Solihull (5 days per week) £35,000 per annum VIQU has partnered with a global organisation looking to expand their dat capabilities. This role will be the sole Data Analyst position in the UK, working closely with the head of Technology, and the wider data team to transform business data into insights. You'll be responsible for analysing and manipulating large datasets, identifying trends and potential issues before they impact the business, and presenting clear recommendations to …",-1.7743,5863109993,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYzMTA5OTkzIn0.4PGcHPtvCEXiBEg08fF1MjFlQcpJwf7oCALdRwfEzFo,Adzuna::API::Response::Company,VIQU IT Recruitment,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Solihull, West Midlands","['UK', 'West Midlands', 'Solihull']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,4
Paralegal - Data Privacy Analyst,,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5863105028?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=C48A01246678C3108F8663C4707D3E1D52EC4F79,51986.88,2026-08-31T18:51:15Z,51986.88,1,"A&O Shearman are hiring for a Paralegal - Data Privacy Analyst to join the Data Privacy team in Belfast. Data Privacy Team A&O Shearman’s Risk function, led by partner, Simon Fuge, is comprised of teams of market leading experts and is at the heart of the sustainability and success of our firm. It has a core responsibility to uphold the values of A&O Shearman and support the strategic objectives of the business. Our lawyers and industry experts provide high quality legal and risk advice to the …",,5863105028,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYzMTA1MDI4In0.ph-zHhldhoVkbI7hW6Ukkic03ZSzhDWNaqDn_PvUeh4,Adzuna::API::Response::Company,A&O Shearman,legal-jobs,Legal Jobs,Adzuna::API::Response::Category,UK,['UK'],Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,5
Senior Data Analyst (Marketing Analytics),51.503378,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5862989176?utm_medium=api&utm_source=aa0fc1e4,60000.0,2026-08-31T16:27:45Z,70000.0,0,"What is the job? We’re looking for a Senior Data Analyst, Marketing Analytics to help us uncover what’s truly driving growth, understand where the biggest opportunities lie and shape where we focus next. This is a high-impact, hands-on senior individual contributor role for someone who loves getting under the skin of the data, connecting the dots behind performance and turning complex findings into clear, commercially meaningful action. You’ll be equally excited by the technical side of analyti…",-0.139134,5862989176,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2Mjk4OTE3NiIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.HEWRaW5UJNiDz8Yj89DwSH7pFo_igC801seIMnzVRhk,Adzuna::API::Response::Company,Montu UK,it-jobs,IT Jobs,Adzuna::API::Response::Category,"London, UK","['UK', 'London']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,6
Senior Data Analyst,,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862927403?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=69AC6A77F9329069ABA112D411508A3F2DED927F,49947.01,2026-08-31T13:21:07Z,49947.01,1,"Key Responsibilities Reporting & Business Analysis Produce and maintain regular reports for senior management and regional heads, ensuring accurate and timely tracking of key performance metrics. Monitor daily sales activity, including applications, payments, and visa submissions, and provide clear daily performance reports. Analyse sales pipeline data to support forecasting for future intakes, including segmentation by nationality, conversion stage, and visa risk factors. Develop and maintain …",,5862927403,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYyOTI3NDAzIn0.CTszBLgF_Ar_lsXFo-NVLvxLE1PaNb_jlrIoGKL_JJA,Adzuna::API::Response::Company,Gedu,it-jobs,IT Jobs,Adzuna::API::Response::Category,"London, UK","['UK', 'London']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,7
Research Analyst - Data Annotation,51.503378,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5862688235?utm_medium=api&utm_source=aa0fc1e4,40133.78,2026-08-31T03:08:12Z,40133.78,1,"About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Generalist Researcher Type: Contract Compensation: $20–$30/hour Location: Remote Role Responsibilities Build answer keys for a multimodal search evaluation set. Review photos, screenshots, documents, and conversations to define what a correct …",-0.139134,5862688235,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjY4ODIzNSIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.xK9s0siiAHjG2WT7C0j3tzGtzhXUjMrwg0BBGBy3F4Q,Adzuna::API::Response::Company,Mercor,it-jobs,IT Jobs,Adzuna::API::Response::Category,"London, UK","['UK', 'London']",Adzuna::API::Response::Location,,contract,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,8
Senior Data Analyst,53.218826,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862649110?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=7657CFF69C9A099B62D600116BDDE33EA1D0972D,49752.24,2026-08-31T02:12:59Z,49752.24,1,"Nottingham Trent House (95002), United Kingdom, Nottingham, Nottinghamshire Senior Data Analyst About the role Are you an experienced and passionate data professional looking to drive meaningful change? This could be the perfect role for you. Data Analysis is at the core of our UK business, delivering critical insights that shape information-driven strategies and influence key company decisions. As a Senior Lead Data Analyst, you will take a pivotal role in driving analytical excellence, spearh…",-0.554907,5862649110,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYyNjQ5MTEwIn0.-4fZ0-3KgEeZdfi-hDVBGP-i7kPLIoIzg8Q8q_VZ4E8,Adzuna::API::Response::Company,Capital One UK,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,"Bracebridge, Lincoln","['UK', 'East Midlands', 'Lincolnshire', 'Lincoln', 'Bracebridge']",Adzuna::API::Response::Location,,permanent,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,9
Senior Data Analyst,52.920359,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862649060?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=0765A1AC26A4C8528A108573791954766B1A39CA,45329.49,2026-08-31T02:12:58Z,45329.49,1,"Nottingham Trent House (95002), United Kingdom, Nottingham, Nottinghamshire Senior Data Analyst About the role Are you an experienced and passionate data professional looking to drive meaningful change? This could be the perfect role for you. Data Analysis is at the core of our UK business, delivering critical insights that shape information-driven strategies and influence key company decisions. As a Senior Lead Data Analyst, you will take a pivotal role in driving analytical excellence, spearh…",-1.404677,5862649060,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYyNjQ5MDYwIn0.76KVWekDujdNT_JprqqfaZxwZPNGL0KFhzlBKcT69BU,Adzuna::API::Response::Company,Capital One UK,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,"Spondon, Derby","['UK', 'East Midlands', 'Derbyshire', 'Derby', 'Spondon']",Adzuna::API::Response::Location,,permanent,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,10
