created,salary_max,salary_is_predicted,longitude,description,latitude,__CLASS__,redirect_url,id,title,adref,salary_min,contract_type,location.area,location.__CLASS__,location.display_name,category.tag,category.label,category.__CLASS__,company.__CLASS__,company.display_name,contract_time,country_code,country,currency,role_family,search_term,query_page,collected_at_utc,query_result_position
2026-09-02T05:55:36Z,65000.0,0,-4.25596,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",55.86026,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532951?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=10C060E6B76AEBA47C8E8D19BCBCD55026717917,5866532951,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUJjcWs2S204UkdzRmJNQnRQU1FQdyIsImkiOiI1ODY2NTMyOTUxIn0.oyTHEtxzWoNZszAvgOOvDZ1t9WPa3adkjkB6LIux91M,65000.0,permanent,"['UK', 'Scotland', 'Glasgow']",Adzuna::API::Response::Location,"Glasgow, Scotland",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,1
2026-09-02T05:55:36Z,65000.0,0,,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532950?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=128D0AD1F0F445D4D5B6EF80633791E1C64D854D,5866532950,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjUzMjk1MCIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.rnmLU9t6TIzlqt0R0dAwW-W-ep4VDhNysLQCdkxwrYQ,65000.0,permanent,"['UK', 'South West England', 'Bristol']",Adzuna::API::Response::Location,"Bristol, South West England",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,2
2026-09-02T05:55:35Z,65000.0,0,-3.210445,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",51.5078,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532947?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=21C600D096810B1BA61F35F82790D694CD094BDE,5866532947,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUJjcWs2S204UkdzRmJNQnRQU1FQdyIsImkiOiI1ODY2NTMyOTQ3In0.UFyjBJYPJrCJRCIk8eIzytbSc3dNXmpm9fxjZ9vDAig,65000.0,permanent,"['UK', 'Wales', 'Cardiff County']",Adzuna::API::Response::Location,"Cardiff County, Wales",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,3
2026-09-02T05:55:35Z,65000.0,0,-1.54912,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",53.799599,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532944?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=A2802B1F982B4A912C38BD370CBB414680B6ACD9,5866532944,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjUzMjk0NCIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.nb4UepBZXYa0H7E1YzMNOFnFyfGIpCBjJm6cSag9HXw,65000.0,permanent,"['UK', 'Yorkshire And The Humber', 'West Yorkshire', 'Leeds']",Adzuna::API::Response::Location,"Leeds, West Yorkshire",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,4
2026-09-02T05:55:35Z,65000.0,0,,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532946?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=2F5570903E6D699E9F3AC61FA19FFED024656883,5866532946,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjUzMjk0NiIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.o6v6Enos7u46qY3PRdiN6TQrPwKoAD47saUVxtcyT6w,65000.0,permanent,"['UK', 'North West England', 'Greater Manchester', 'Manchester']",Adzuna::API::Response::Location,"Manchester, Greater Manchester",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,5
2026-09-02T05:55:35Z,65000.0,0,-1.89359,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",52.483002,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532943?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=C112CA7400993D76DD423989A1803DCBE4D552BC,5866532943,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjUzMjk0MyIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.z-CliNGz1oPOR-ck9O76H2tgGMOtEed9Gndl13EouiM,65000.0,permanent,"['UK', 'West Midlands', 'Birmingham']",Adzuna::API::Response::Location,"Birmingham, West Midlands",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,6
2026-09-02T05:55:35Z,65000.0,0,-1.4648,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",53.383099,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532948?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=2D560CEAF8FA3F12FFF4CACBBE551ADE56DAB255,5866532948,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjUzMjk0OCIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.JFxKlauGeJFiiWoY-BtCRZw5XdtGwhBa_vZvara9oI8,65000.0,permanent,"['UK', 'Yorkshire And The Humber', 'South Yorkshire', 'Sheffield']",Adzuna::API::Response::Location,"Sheffield, South Yorkshire",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,7
2026-09-02T05:55:35Z,65000.0,0,-3.327942,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",55.943116,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532949?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=51FBE772383052419E12A514BC712AB3F10AE460,5866532949,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUJjcWs2S204UkdzRmJNQnRQU1FQdyIsImkiOiI1ODY2NTMyOTQ5In0.WEYuP9wl2q-6KKEA0WzT2rnFVQ1a3wnhVhlsZccMyfA,65000.0,permanent,"['UK', 'Scotland', 'Edinburgh']",Adzuna::API::Response::Location,"Edinburgh, Scotland",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,8
2026-09-02T05:55:35Z,65000.0,0,-2.97784,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",53.410801,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866532945?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=4BF93C941456D928DFD7FCDF09B2571EF5375B07,5866532945,Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjUzMjk0NSIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.XbFXpD8ToWYkFamfPdTEaSlT2mLHFmDU6vj3ialKUnk,65000.0,permanent,"['UK', 'North West England', 'Merseyside', 'Liverpool']",Adzuna::API::Response::Location,"Liverpool, Merseyside",it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,IT Online Learning,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,9
2026-09-02T04:55:57Z,36483.17,1,,"About The Role As a Data Selections Analyst, you’ll play a key role in turning supporter data into well-targeted, well-timed campaigns across fundraising, membership, Poppy Appeal and campaigns. Working with a CRM database of more than four million records, you’ll use Apteco FastStats and PeopleStage to build and deliver the audience selections behind a wide range of multi-channel activity, from long-term campaign programmes to fast moving requests where priorities can change quickly. You’ll wo…",,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5866419176?se=MBcqk6Km8RGsFbMBtPSQPw&utm_medium=api&utm_source=aa0fc1e4&v=80FD4B16E6875EB146017E4B2D5377AF9414BBE4,5866419176,Data Selections Analyst,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2NjQxOTE3NiIsInMiOiJNQmNxazZLbThSR3NGYk1CdFBTUVB3In0.Dx3UtCGQNJtvdcd6sP_NV8OlJ79NTIUbafWh6xE44XU,36483.17,,['UK'],Adzuna::API::Response::Location,UK,it-jobs,IT Jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Royal British Legion,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-02 07:47:40.267835+00:00,10
