__CLASS__,redirect_url,salary_is_predicted,latitude,longitude,salary_max,contract_type,id,created,description,title,adref,salary_min,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.label,category.__CLASS__,category.tag,contract_time,country_code,country,currency,role_family,search_term,query_page,collected_at_utc,query_result_position
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5868457898?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=9518A2DA2C1F2158FEB6B755ACE9D16F2F3F4B18,0,53.410801,-2.97784,65000.0,permanent,5868457898,2026-09-03T07:29:42Z,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk1aUHRYS244Ukc5aFpab21WTFZFUSIsImkiOiI1ODY4NDU3ODk4In0.tKOw1KZjkLh_fQk329biudDDHvDGPDaEio1nTm920lg,65000.0,"['UK', 'North West England', 'Merseyside', 'Liverpool']","Liverpool, Merseyside",Adzuna::API::Response::Location,IT Online Learning,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,1
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5868457878?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=327A75B2E0ADF6CB6432A0140AD5EAEFC3A20CC9,0,51.5078,-3.210445,65000.0,permanent,5868457878,2026-09-03T07:29:42Z,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk1aUHRYS244Ukc5aFpab21WTFZFUSIsImkiOiI1ODY4NDU3ODc4In0.Yi81xYoeUhR8AzMN-pAw0XKgnhixPTGdjqP4WUXhLQ0,65000.0,"['UK', 'Wales', 'Cardiff County']","Cardiff County, Wales",Adzuna::API::Response::Location,IT Online Learning,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,2
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5868457872?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=56C0863845C9496A12181A958921049DE2BC42D0,0,53.383099,-1.4648,65000.0,permanent,5868457872,2026-09-03T07:29:41Z,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk1aUHRYS244Ukc5aFpab21WTFZFUSIsImkiOiI1ODY4NDU3ODcyIn0.z6iFYqGNWl9MJXKBNDPiL4vjziQAapwRKqmJiOkFSiw,65000.0,"['UK', 'Yorkshire And The Humber', 'South Yorkshire', 'Sheffield']","Sheffield, South Yorkshire",Adzuna::API::Response::Location,IT Online Learning,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,3
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5868457874?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=4B9205EF6DC1EEFF5EE0503D219AB8A60E927EE9,0,55.943116,-3.327942,65000.0,permanent,5868457874,2026-09-03T07:29:41Z,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2ODQ1Nzg3NCIsInMiOiJCTVpQdFhLbjhSRzloWlpvbVZMVkVRIn0.e7CUrBYSfJbTw3gCrNVhUM5qSrunrZweUfUTW-HVoFo,65000.0,"['UK', 'Scotland', 'Edinburgh']","Edinburgh, Scotland",Adzuna::API::Response::Location,IT Online Learning,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,4
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5868457216?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=69F7F6A1F2B8A72CA2165E7E14BABD1B69B70E27,0,,,65000.0,permanent,5868457216,2026-09-03T07:28:37Z,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",Data Analyst Placement Programme No Experience Needed,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk1aUHRYS244Ukc5aFpab21WTFZFUSIsImkiOiI1ODY4NDU3MjE2In0.6qowcyDR82Eaa5yMXhEyjz-fAz1mj95M7SsJ7TFzmFM,65000.0,"['UK', 'South West England', 'Bristol']","Bristol, South West England",Adzuna::API::Response::Location,IT Online Learning,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,5
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5868292468?utm_medium=api&utm_source=aa0fc1e4,0,55.86026,-4.25596,65000.0,contract,5868292468,2026-09-03T05:54:08Z,"Scottish Power Transmissions are looking for a Sustainability Senior Analyst to join them on a 12 month ongoing contract basis based in Cambuslang. Sustainability Senior Analyst (Data and Reporting) Scottish Power Transmission Cambuslang/hybrid style working 12 month contract with scope to extend Full time Mon-Fri Inside IR35, PAYE and Umbrella options available Purpose SP Transmission (SPT) is delivering a portfolio of nationally significant High Voltage Direct Current (HVDC) projects that are…",Sustainability Senior Data Analyst,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2ODI5MjQ2OCIsInMiOiJCTVpQdFhLbjhSRzloWlpvbVZMVkVRIn0.Jc_2cH83fyF8LrBVa96sOTihprqsFvmv__tFGSsiajE,65000.0,"['UK', 'Scotland', 'Glasgow']","Glasgow, Scotland",Adzuna::API::Response::Location,Morson Edge,Adzuna::API::Response::Company,Consultancy Jobs,Adzuna::API::Response::Category,consultancy-jobs,full_time,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,6
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5868148351?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=F1AF46DF215E97C43E7DB1D67CCE588A8E5697FE,0,55.832315,-4.168161,65000.0,contract,5868148351,2026-09-03T03:51:45Z,"Scottish Power Transmissions are looking for a Sustainability Senior Analyst to join them on a 12 month ongoing contract basis based in Cambuslang. Sustainability Senior Analyst (Data and Reporting) Scottish Power Transmission Cambuslang/hybrid style working 12 month contract with scope to extend Full time Mon-Fri Inside IR35, PAYE and Umbrella options available Purpose SP Transmission (SPT) is delivering a portfolio of nationally significant High Voltage Direct Current (HVDC) projects that are…",Sustainability Senior Data Analyst,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2ODE0ODM1MSIsInMiOiJCTVpQdFhLbjhSRzloWlpvbVZMVkVRIn0.kasy9oZ4iine3EQQIC_DiZne0WoyHr0acO85kMTjk4s,65000.0,"['UK', 'Scotland', 'Glasgow', 'Glasgow East Investment Park']","Glasgow East Investment Park, Glasgow",Adzuna::API::Response::Location,Morson Edge,Adzuna::API::Response::Company,Consultancy Jobs,Adzuna::API::Response::Category,consultancy-jobs,full_time,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,7
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5868109801?utm_medium=api&utm_source=aa0fc1e4,1,51.503378,-0.139134,44681.19,,5868109801,2026-09-03T03:23:16Z,"Fractional Data Analyst (6–8 Hours per Week) – FinTech / Remote PLEASE READ THE FULL JOB DESCRIPTION BEFORE APPLYING Location: Remote Working Pattern: Fractional – approximately 6–8 hours per week Environment: Early-Stage FinTech About the Opportunity Our client is an early-stage FinTech developing a data-driven technology proposition within financial services. As the organisation develops its product and commercial capability, it is looking for a hands-on Fractional Data Analyst to help turn g…",Fractional Data Analyst – FinTech / Remote,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2ODEwOTgwMSIsInMiOiJCTVpQdFhLbjhSRzloWlpvbVZMVkVRIn0.zFR0U40TKDkwodRydMlvc-nP2QhiVdPj-z3wScOUqrY,44681.19,"['UK', 'London']","London, UK",Adzuna::API::Response::Location,Rosie's People,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,8
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5867756760?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=5EB61E52975219A222ECD5986EC8A91A8202F375,1,50.721802,-3.53362,32721.21,contract,5867756760,2026-09-03T00:31:42Z,"Data Analyst Exeter, Devon (with hybrid working) About Us At FDB (First Databank), we're part of the Hearst Health network, and we create and deliver the world's most trusted drug knowledge, enabling healthcare professionals to make critical decisions that improve patient safety, efficiency, and outcomes. Our solutions are embedded across hospitals, GP practices, pharmacies, and wider healthcare systems, supporting millions of patients every day. Our values guide everything we do: Better Togeth…",Data Analyst,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2Nzc1Njc2MCIsInMiOiJCTVpQdFhLbjhSRzloWlpvbVZMVkVRIn0.lZD1ow_0kc1EgW_--HIgxr0GCoGPbzJnQR50L-GN2G8,32721.21,"['UK', 'South West England', 'Devon', 'Exeter']","Exeter, Devon",Adzuna::API::Response::Location,First Databank,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,part_time,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,9
Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5867730506?se=BMZPtXKn8RG9hZZomVLVEQ&utm_medium=api&utm_source=aa0fc1e4&v=9F6AC870C9FF3359A09EB4494F431560103809A5,0,,,40000.0,,5867730506,2026-09-03T00:12:15Z,"Data Analyst Belfast | Hybrid Working (3 Days Office / 2 Days Home) £30,000 - £40,000  Excellent Career Development This is an exciting opportunity to join a business that is heavily investing in digital transformation, data, automation and AI. Working alongside a Data Engineer and reporting into the Business Transformation function, you will play a key role in delivering data-driven insights, supporting strategic decision-making and helping shape the future use of modern technologies across th…",Data Analyst,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiQk1aUHRYS244Ukc5aFpab21WTFZFUSIsImkiOiI1ODY3NzMwNTA2In0.3mDTW5P2ADIMnst4GMJxS8ddZKAtMPSQ9MY9jL-uJs8,40000.0,"['UK', 'Northern Ireland', 'Belfast']","Belfast, Northern Ireland",Adzuna::API::Response::Location,MCS Group,Adzuna::API::Response::Company,IT Jobs,Adzuna::API::Response::Category,it-jobs,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-03 08:37:33.076417+00:00,10
